Processor,Renderer,Size,Accuracy
Edges,IrregularChanging,10,0.972
Edges,IrregularChanging,3,0.276
Edges,IrregularChanging,5,0.686
Edges,Irregular,10,1
Edges,Irregular,3,0.276
Edges,Irregular,5,0.722
Edges,Regular,10,1
Edges,Regular,3,0.276
Edges,Regular,5,0.722
Intensity,IrregularChanging,10,0.374
Intensity,IrregularChanging,3,0.26
Intensity,IrregularChanging,5,0.402
Intensity,Irregular,10,1
Intensity,Irregular,3,0.276
Intensity,Irregular,5,0.514
Intensity,Regular,10,1
Intensity,Regular,3,0.238
Intensity,Regular,5,0.514
LandoltMimic,IrregularChanging,10,1
LandoltMimic,IrregularChanging,3,0.868
LandoltMimic,IrregularChanging,5,0.942
LandoltMimic,Irregular,10,1
LandoltMimic,Irregular,3,1
LandoltMimic,Irregular,5,1
LandoltMimic,Regular,10,1
LandoltMimic,Regular,3,1
LandoltMimic,Regular,5,1
Original,Original,Original,1
